seccion;escenario_id;escenario_descripcion;fecha_desde;fecha_hasta;variable;comuna_id;clase_incidente_id;modo_territorio;excluir_covid;horizonte_meses;holdout_meses;modelo;sin_modelo;n_meses_ajuste;r2;rmse;mape_pct;aic;bic;bondad_nivel;r2_holdout;rmse_holdout;mape_holdout_pct;bondad_holdout;holdout_activo;media_historica;desviacion_estandar;limite_inferior_3sigma;limite_superior_3sigma;pct_meses_dentro_3sigma;meses_fuera_3sigma;proyeccion_razonable;notas;fecha_revision
1_proyeccion_mensual;A;Ciudad completa - incidentes (largo);2018-01-01;2021-09-30;incidentes;;;registro;si;3;3;ols;no;39;0,0073;243,47;11,21;;;bajo;0;323,28;18,92;bajo;si;;;;;;;parcial;"hold-out MAPE 18.92% (~81.1% prec); R2 bajo in-sample";2026-06-19
1_proyeccion_mensual;A;Ciudad completa - incidentes (largo);2018-01-01;2021-09-30;incidentes;;;registro;si;3;3;estacional;no;39;0,514;170,36;8,38;;;moderado;0;372,7;22,44;bajo;si;;;;;;;parcial;hold-out MAPE 22.44% (~77.6% prec);2026-06-19
1_proyeccion_mensual;A;Ciudad completa - incidentes (largo);2018-01-01;2021-09-30;incidentes;;;registro;si;3;3;poisson;no;39;0,5243;168,55;8,3;;;moderado;0;374,52;22,54;bajo;si;;;;;;;parcial;hold-out MAPE 22.54% (~77.5% prec);2026-06-19
1_proyeccion_mensual;A;Ciudad completa - incidentes (largo);2018-01-01;2021-09-30;incidentes;;;registro;si;3;3;media_movil;no;39;0,6022;154,12;6,52;;;bueno;0;311,72;15,71;bajo;si;;;;;;;si;"hold-out MAPE 15.71% (~84.3% prec); buen in-sample";2026-06-19
1_proyeccion_mensual;A;Ciudad completa - incidentes (largo);2018-01-01;2021-09-30;incidentes;;;registro;si;3;3;tres_sigma;no;39;0;244,37;11,25;;;bueno;0;311,71;17,19;bajo;si;1753,359;247,56;1010,68;2496,04;100;0;si;"hold-out MAPE 17.19% (~82.8% prec); μ=1753.359 σ=247.56; 100.0% meses en μ±3σ";2026-06-19
1_proyeccion_mensual;A;Ciudad completa - incidentes (largo);2018-01-01;2021-09-30;incidentes;;;registro;si;3;3;arima;no;39;0;325,99;10,95;524,76;534,58;bajo;0;334,08;19,9;bajo;si;;;;;;;parcial;"hold-out MAPE 19.9% (~80.1% prec); R2 bajo in-sample";2026-06-19
1_proyeccion_mensual;A;Ciudad completa - incidentes (largo);2018-01-01;2021-09-30;incidentes;;;registro;si;3;3;sarima;no;39;0;381,65;13,14;384,48;394,54;bajo;0,1349;288,94;12,62;bajo;si;;;;;;;si;"hold-out MAPE 12.62% (~87.4% prec); R2 bajo in-sample";2026-06-19
1_proyeccion_mensual;G;Rango corto 6 meses - incidentes;2021-04-01;2021-09-30;incidentes;;;registro;si;3;3;ols;no;6;0,0038;310,52;17,37;;;bajo;0;1233,75;69,87;bajo;si;;;;;;;no;"hold-out MAPE 69.87% (~30.1% prec); R2 bajo in-sample";2026-06-19
1_proyeccion_mensual;G;Rango corto 6 meses - incidentes;2021-04-01;2021-09-30;incidentes;;;registro;si;3;3;estacional;no;6;0,0038;310,52;17,37;;;bajo;0;463,39;26,35;bajo;si;;;;;;;no;"hold-out MAPE 26.35% (~73.7% prec); R2 bajo in-sample";2026-06-19
1_proyeccion_mensual;G;Rango corto 6 meses - incidentes;2021-04-01;2021-09-30;incidentes;;;registro;si;3;3;poisson;no;6;0;311,11;17,08;;;bajo;0;311,72;15,71;bajo;si;;;;;;;parcial;"hold-out MAPE 15.71% (~84.3% prec); R2 bajo in-sample";2026-06-19
1_proyeccion_mensual;G;Rango corto 6 meses - incidentes;2021-04-01;2021-09-30;incidentes;;;registro;si;3;3;media_movil;no;6;0,3133;257,82;13,07;;;bajo;0;311,72;15,71;bajo;si;;;;;;;parcial;"hold-out MAPE 15.71% (~84.3% prec); R2 bajo in-sample";2026-06-19
1_proyeccion_mensual;G;Rango corto 6 meses - incidentes;2021-04-01;2021-09-30;incidentes;;;registro;si;3;3;tres_sigma;no;6;0;311,11;17,08;;;bueno;0;311,72;15,71;bajo;si;1716,8333;340,8063;694,41;2739,25;100;0;parcial;"hold-out MAPE 15.71% (~84.3% prec); μ=1716.8333 σ=340.8063; 100.0% meses en μ±3σ";2026-06-19
1_proyeccion_mensual;G;Rango corto 6 meses - incidentes;2021-04-01;2021-09-30;incidentes;;;registro;si;3;3;arima;si;6;;;;;;;;;;;no;;;;;;;no;"Proyección ilustrativa: no incorpora cambios normativos, shocks externos ni variables exógenas; no sustituye estudios de";2026-06-19
1_proyeccion_mensual;G;Rango corto 6 meses - incidentes;2021-04-01;2021-09-30;incidentes;;;registro;si;3;3;sarima;si;6;;;;;;;;;;;no;;;;;;;no;"Proyección ilustrativa: no incorpora cambios normativos, shocks externos ni variables exógenas; no sustituye estudios de";2026-06-19
1_proyeccion_mensual;H;Rango medio 12 meses - incidentes;2020-10-01;2021-09-30;incidentes;;;registro;si;3;3;ols;no;12;0,0572;236,42;12,02;;;bajo;0;362,19;21,68;bajo;si;;;;;;;parcial;"hold-out MAPE 21.68% (~78.3% prec); R2 bajo in-sample";2026-06-19
1_proyeccion_mensual;H;Rango medio 12 meses - incidentes;2020-10-01;2021-09-30;incidentes;;;registro;si;3;3;estacional;no;12;0,0572;236,42;12,02;;;bajo;0;317,73;18,37;bajo;si;;;;;;;parcial;"hold-out MAPE 18.37% (~81.6% prec); R2 bajo in-sample";2026-06-19
1_proyeccion_mensual;H;Rango medio 12 meses - incidentes;2020-10-01;2021-09-30;incidentes;;;registro;si;3;3;poisson;no;12;0;243,49;12,25;;;bajo;0;319,04;14,36;bajo;si;;;;;;;si;"hold-out MAPE 14.36% (~85.6% prec); R2 bajo in-sample";2026-06-19
1_proyeccion_mensual;H;Rango medio 12 meses - incidentes;2020-10-01;2021-09-30;incidentes;;;registro;si;3;3;media_movil;no;12;0,2347;213,01;10,99;;;bajo;0;311,72;15,71;bajo;si;;;;;;;si;"hold-out MAPE 15.71% (~84.3% prec); R2 bajo in-sample";2026-06-19
1_proyeccion_mensual;H;Rango medio 12 meses - incidentes;2020-10-01;2021-09-30;incidentes;;;registro;si;3;3;tres_sigma;no;12;0;243,49;12,25;;;bueno;0;319,04;14,36;bajo;si;1675,1667;254,3151;912,22;2438,11;100;0;si;"hold-out MAPE 14.36% (~85.6% prec); μ=1675.1667 σ=254.3151; 100.0% meses en μ±3σ";2026-06-19
1_proyeccion_mensual;H;Rango medio 12 meses - incidentes;2020-10-01;2021-09-30;incidentes;;;registro;si;3;3;arima;no;12;0;512,94;20,23;165,85;168,24;bajo;;;;;no;;;;;;;no;"R2 bajo in-sample; Se requieren al menos 15 meses de ajuste para reservar 3 meses de prueba (mínimo del modelo: 12).";2026-06-19
1_proyeccion_mensual;H;Rango medio 12 meses - incidentes;2020-10-01;2021-09-30;incidentes;;;registro;si;3;3;sarima;si;12;;;;;;;;;;;no;;;;;;;no;"Proyección ilustrativa: no incorpora cambios normativos, shocks externos ni variables exógenas; no sustituye estudios de";2026-06-19
1_proyeccion_mensual;I;Rango 18 meses post-COVID parcial - incidentes;2020-04-01;2021-09-30;incidentes;;;registro;si;3;3;ols;no;13;0,0886;227,64;11,29;;;bajo;0;359,68;21,5;bajo;si;;;;;;;parcial;"hold-out MAPE 21.5% (~78.5% prec); R2 bajo in-sample";2026-06-19
1_proyeccion_mensual;I;Rango 18 meses post-COVID parcial - incidentes;2020-04-01;2021-09-30;incidentes;;;registro;si;3;3;estacional;no;13;1;0;0;;;bueno;0;317,16;18,29;bajo;si;;;;;;;parcial;"hold-out MAPE 18.29% (~81.7% prec); buen in-sample";2026-06-19
1_proyeccion_mensual;I;Rango 18 meses post-COVID parcial - incidentes;2020-04-01;2021-09-30;incidentes;;;registro;si;3;3;poisson;no;13;1;0;0;;;bueno;0;322,93;13,91;bajo;si;;;;;;;parcial;"hold-out MAPE 13.91% (~86.1% prec); buen in-sample";2026-06-19
