seccion;escenario_id;escenario_descripcion;fecha_desde;fecha_hasta;nivel;comuna_id;clase_incidente_id;modo_territorio;excluir_covid;horizonte_meses;ventana_ma;modelo;sin_datos;territorios_totales_periodo;territorios_proyectables;top1_nombre;top1_carga;top1_categoria;top1_incidentes;top1_rank_frecuencia;top3_nombres;overlap_top5_carga_frecuencia;spearman_carga_frecuencia;spearman_carga_indice_p05;top1_coincide_p05;overlap_top3_con_estacional;ranking_coherente;nivel_confianza_ranking;nivel_confianza_cifras;mediana_mape_holdout_pct;mape_ponderado_incidentes_pct;mediana_mape_nucleo_pct;pct_territorios_holdout_aceptable;cierre_util;notas;fecha_revision
3_carga_territorial;A;Ciudad completa - carga comunas (referencia);01/01/2018;30/09/2021;comuna;;;registro;si;3;;estacional;no;22;22;La Candelaria;982,2;alto;12921;1;"La Candelaria; Castilla; Laureles Estadio";4;0,9492;0,8792;si;;si;bueno;bajo;33,16;46,08;31,5;22,7;si;;2026-06-18
3_carga_territorial;A;Ciudad completa - carga comunas (referencia);01/01/2018;30/09/2021;comuna;;;registro;si;3;;ols;no;22;22;La Candelaria;939,56;alto;12921;1;"La Candelaria; Castilla; Laureles Estadio";4;0,9639;;si;3;si;bueno;moderado;26,27;37,17;26,27;36,4;si;;2026-06-18
3_carga_territorial;A;Ciudad completa - carga comunas (referencia);01/01/2018;30/09/2021;comuna;;;registro;si;3;3;media_movil;no;22;22;La Candelaria;840,99;alto;12921;1;"La Candelaria; Sin Inf; Castilla";4;0,8227;;si;2;si;bueno;moderado;24,16;52,77;23,64;36,4;si;;2026-06-18
3_carga_territorial;A;Ciudad completa - carga comunas (referencia);01/01/2018;30/09/2021;comuna;;;registro;si;3;;tres_sigma;no;22;22;La Candelaria;906,45;alto;12921;1;"La Candelaria; Castilla; Laureles Estadio";5;0,9989;;si;3;si;bueno;moderado;21,29;22,9;17,75;50;si;;2026-06-18
3_carga_territorial;A;Ciudad completa - carga comunas (referencia);01/01/2018;30/09/2021;comuna;;;registro;si;3;;arima;no;22;22;Sin Inf;1088,17;alto;697;19;"Sin Inf; La Candelaria; Laureles Estadio";4;0,8001;;no;2;parcial;moderado;bajo;45,52;42,21;40,77;22,7;parcial;;2026-06-18
3_carga_territorial;A;Ciudad completa - carga comunas (referencia);01/01/2018;30/09/2021;comuna;;;registro;si;3;;sarima;no;22;22;La Candelaria;907,53;alto;12921;1;"La Candelaria; Sin Inf; Castilla";3;0,8001;;si;2;si;bueno;bajo;58,67;63,89;49,5;22,7;si;;2026-06-18
3_carga_territorial;B;Ciudad completa - carga barrios;01/01/2018;30/09/2021;barrio;;;registro;si;3;;estacional;no;270;50;Sin Inf (Robledo);221,83;alto;755;16;"Sin Inf (Robledo); La Candelaria (La Candelaria); San Benito (La Candelaria)";2;0,7127;;;;parcial;moderado;bajo;52,9;90,85;86,72;8;parcial;220 territorio(s) sin modelo en este ajuste;2026-06-18
3_carga_territorial;C;Rango 12 meses - comunas;01/10/2020;30/09/2021;comuna;;;registro;si;3;;estacional;no;22;22;La Candelaria;884,07;alto;3387;1;"La Candelaria; Robledo; Castilla";4;0,9503;;;;si;bueno;bajo;32,22;58,82;30,03;27,3;si;;2026-06-18
3_carga_territorial;D;Comuna Castilla - barrios;01/01/2018;30/09/2021;barrio;27;;registro;si;3;;estacional;no;18;18;Caribe (Castilla);84,61;alto;1321;1;"Caribe (Castilla); Castilla (Castilla); Terminal de Transporte (Castilla)";3;0,8741;;;;si;bueno;bajo;46,28;67,64;64,1;5,6;si;;2026-06-18
3_carga_territorial;E;Clase Atropello - comunas;01/01/2018;30/09/2021;comuna;;2;registro;si;3;;estacional;no;21;21;La Candelaria;182,12;alto;2343;1;"La Candelaria; Manrique; Castilla";5;0,9065;;;;si;bueno;bajo;46,33;44,1;57,76;14,3;si;;2026-06-18
3_carga_territorial;F;Sin excluir COVID en proyección - comunas;01/01/2018;30/09/2021;comuna;;;registro;no;3;;estacional;no;22;22;La Candelaria;832,56;alto;12921;1;"La Candelaria; Castilla; Laureles Estadio";4;0,9639;;;;si;bueno;moderado;16,11;27,81;13,27;59,1;si;;2026-06-18
3_carga_territorial;G;Modo territorio espacial PostGIS - comunas;01/01/2018;30/09/2021;comuna;;;espacial;si;3;;estacional;no;21;21;La Candelaria;732,44;alto;10643;1;"La Candelaria; Robledo; Castilla";5;0,9857;;;;si;bueno;moderado;38,39;41,43;36,19;38,1;si;;2026-06-18
