seccion;escenario_id;escenario_descripcion;fecha_desde;fecha_hasta;comuna_id;clase_incidente_id;modo_territorio;excluir_covid;horizonte_meses;holdout_meses;ventana_ma;modelo;sin_modelo;n_meses_con_pct_observado;n_meses_ajuste;pct_promedio_observado;pct_min_observado;pct_max_observado;pct_promedio_horizonte;r2;rmse;mape_pct;mape_holdout_pct;holdout_activo;bondad_nivel;proyeccion_razonable;notas;fecha_revision
4_proporcion_fatales;A;Ciudad completa - % fatales mensual (referencia);01/01/2018;30/09/2021;;;registro;si;3;3;;estacional;no;45;39;0,66;0,35;1,2;0,67;0,3797;0,12;16,46;21,96;si;moderado;si;;2026-06-18
4_proporcion_fatales;A;Ciudad completa - % fatales mensual (referencia);01/01/2018;30/09/2021;;;registro;si;3;3;;logit_offset;no;45;39;0,66;0,35;1,2;0,65;0,362;0,12;15,23;20,25;si;moderado;si;;2026-06-18
4_proporcion_fatales;A;Ciudad completa - % fatales mensual (referencia);01/01/2018;30/09/2021;;;registro;si;3;3;;ratio_compuesto;no;45;39;0,66;0,35;1,2;0,64;0,3755;0,12;16,13;21,18;si;moderado;si;;2026-06-18
4_proporcion_fatales;A;Ciudad completa - % fatales mensual (referencia);01/01/2018;30/09/2021;;;registro;si;3;3;3;media_movil;no;45;39;0,66;0,35;1,2;0,65;0,3155;0,13;17,01;35,09;si;bajo;no;;2026-06-18
4_proporcion_fatales;A;Ciudad completa - % fatales mensual (referencia);01/01/2018;30/09/2021;;;registro;si;3;3;;ols;no;45;39;0,66;0,35;1,2;0,66;0,0061;0,15;21,81;36,54;si;bajo;no;OLS/logit: R² ~0 habitual en % fatales volátil;2026-06-18
4_proporcion_fatales;A;Ciudad completa - % fatales mensual (referencia);01/01/2018;30/09/2021;;;registro;si;3;3;;logistica;no;45;39;0,66;0,35;1,2;0,65;0;0,15;21,05;35,48;si;bajo;no;OLS/logit: R² ~0 habitual en % fatales volátil;2026-06-18
4_proporcion_fatales;A;Ciudad completa - % fatales mensual (referencia);01/01/2018;30/09/2021;;;registro;si;3;3;;arima;no;45;39;0,66;0,35;1,2;0,64;0;0,18;24,54;28,57;si;bajo;no;"ARIMA/SARIMA: % mensual muy volátil; preferir estacional";2026-06-18
4_proporcion_fatales;A;Ciudad completa - % fatales mensual (referencia);01/01/2018;30/09/2021;;;registro;si;3;3;;sarima;no;45;39;0,66;0,35;1,2;0,77;0;0,23;30,36;34,26;si;bajo;no;"ARIMA/SARIMA: % mensual muy volátil; preferir estacional";2026-06-18
4_proporcion_fatales;B;Comuna Castilla - % fatales;01/01/2018;30/09/2021;27;;registro;si;3;3;;estacional;no;45;39;0,74;0;2,55;0,74;0,5852;0,35;42,26;56;si;bueno;si;;2026-06-18
4_proporcion_fatales;C;Clase Atropello - % fatales;01/01/2018;30/09/2021;;2;registro;si;3;3;;estacional;no;45;39;1,55;0,27;4,48;1,82;0,48;0,53;47,92;25,51;si;moderado;parcial;;2026-06-18
4_proporcion_fatales;D;Rango 12 meses - % fatales;01/10/2020;30/09/2021;;;registro;si;3;3;;estacional;no;12;12;0,68;0,46;0,98;0,57;0,0935;0,16;19,44;22,99;si;bajo;no;;2026-06-18
4_proporcion_fatales;E;Sin excluir COVID en ajuste - % fatales;01/01/2018;30/09/2021;;;registro;no;3;3;;estacional;no;45;45;0,66;0,35;1,2;0,71;0,0211;0,18;23,14;43,19;si;bajo;no;;2026-06-18
4_proporcion_fatales;F;Modo territorio espacial PostGIS - % fatales;01/01/2018;30/09/2021;;;espacial;si;3;3;;estacional;no;44;39;0,67;0,35;1,2;0,62;0,361;0,12;16,63;24,18;si;moderado;si;;2026-06-18
4_proporcion_fatales;G;18 meses post-COVID - % fatales;01/04/2020;30/09/2021;;;registro;si;3;3;;estacional;no;18;13;0,72;0,46;1,2;0,6;1;0;0;26,93;si;bueno;parcial;;2026-06-18
