seccion;escenario_id;escenario_descripcion;fecha_desde;fecha_hasta;comuna_id;clase_incidente_id;modo_territorio;excluir_covid;horizonte_meses;ventana_ma;modelo;sin_datos;sin_modelo_mensual;total_incidentes_periodo;total_proyectado_horizonte;meses_en_periodo;r2_modelo_mensual;p12_top_celda;p12_top_proyectados;p12_top_participacion_pct;p12_celdas_con_datos;p12_spearman_obs_proy;p12_top_igual_obs;p12_coherente;p13_top_dia;p13_top_proyectados;p13_top_participacion_pct;p13_top_igual_obs;p13_top_nivel;patron_util;notas;fecha_revision
5_patrones_temporales;A;Ciudad completa - patrones P12/P13 (referencia);01/01/2018;30/09/2021;;;registro;si;3;;estacional;no;no;75088;5530,96;45;;Martes 07:00;69;1,248;168;0,9992;si;si;Martes;842;15,22;si;bajo;si;;2026-06-18
5_patrones_temporales;A;Ciudad completa - patrones P12/P13 (referencia);01/01/2018;30/09/2021;;;registro;si;3;;ols;no;no;75088;5377,21;45;;Martes 07:00;67;1,246;168;0,9992;si;si;Martes;818;15,21;si;bajo;si;;2026-06-18
5_patrones_temporales;A;Ciudad completa - patrones P12/P13 (referencia);01/01/2018;30/09/2021;;;registro;si;3;3;media_movil;no;no;75088;5189,01;45;;Martes 07:00;65;1,253;168;0,9992;si;si;Martes;790;15,22;si;bajo;si;;2026-06-18
5_patrones_temporales;A;Ciudad completa - patrones P12/P13 (referencia);01/01/2018;30/09/2021;;;registro;si;3;;tres_sigma;no;no;75088;5260,08;45;;Martes 07:00;66;1,255;168;0,9992;si;si;Martes;801;15,23;si;bajo;si;;2026-06-18
5_patrones_temporales;A;Ciudad completa - patrones P12/P13 (referencia);01/01/2018;30/09/2021;;;registro;si;3;;arima;no;no;75088;4756,21;45;;Martes 07:00;60;1,262;168;0,9992;si;si;Martes;724;15,22;si;bajo;si;"ARIMA cambia total proyectado; patrón relativo igual";2026-06-18
5_patrones_temporales;A;Ciudad completa - patrones P12/P13 (referencia);01/01/2018;30/09/2021;;;registro;si;3;;sarima;no;no;75088;4572,92;45;;Martes 07:00;57;1,246;168;0,9989;si;si;Martes;696;15,22;si;bajo;si;;2026-06-18
5_patrones_temporales;B;Comuna Castilla - patrones;01/01/2018;30/09/2021;27;;registro;si;3;;estacional;no;no;7963;511,89;45;;Martes 06:00;9;1,758;168;0,9517;si;si;Martes;84;16,41;si;medio;si;;2026-06-18
5_patrones_temporales;C;Clase Atropello - patrones;01/01/2018;30/09/2021;;2;registro;si;3;;estacional;no;no;11093;767,57;45;;Miércoles 18:00;10;1,302;168;0,9855;no;si;Sábado;120;15,62;si;bajo;si;;2026-06-18
5_patrones_temporales;D;Rango 12 meses - patrones;01/10/2020;30/09/2021;;;registro;si;3;;estacional;no;no;20102;5303,91;12;;Martes 07:00;77;1,452;168;0,9994;si;si;Martes;822;15,5;si;bajo;si;;2026-06-18
5_patrones_temporales;E;Sin excluir COVID - patrones;01/01/2018;30/09/2021;;;registro;no;3;;estacional;no;no;75088;4812,81;45;;Martes 07:00;60;1,247;168;0,999;si;si;Martes;733;15,23;si;bajo;parcial;;2026-06-18
5_patrones_temporales;F;Modo territorio espacial PostGIS - patrones;01/01/2018;30/09/2021;;;espacial;si;3;;estacional;no;no;73574;4865,16;45;;Martes 07:00;61;1,254;168;0,9992;si;si;Martes;741;15,23;si;bajo;si;;2026-06-18
5_patrones_temporales;G;18 meses post-COVID - patrones;01/04/2020;30/09/2021;;;registro;si;3;;estacional;no;no;26876;4852;18;;Martes 07:00;66;1,36;168;0,9992;si;si;Martes;746;15,38;si;bajo;si;;2026-06-18
